"","x"
"1","C00012"
"2","C00017"
"3","C00028"
"4","C00030"
"5","C00039"
"6","C00039(n)"
"7","C00039(n+1)"
"8","C00039(n+m)"
"9","C00040"
"10","C00045"
"11","C00046"
"12","C00046(m)"
"13","C00046(n)"
"14","C00046(n+m)"
"15","C00060"
"16","C00066"
"17","C00069"
"18","C00071"
"19","C00110"
"20","C00125"
"21","C00126"
"22","C00138"
"23","C00139"
"24","C00145"
"25","C00151"
"26","C00157"
"27","C00161"
"28","C00162"
"29","C00165"
"30","C00173"
"31","C00195"
"32","C00201"
"33","C00215"
"34","C00226"
"35","C00229"
"36","C00241"
"37","C00264"
"38","C00269"
"39","C00339"
"40","C00340"
"41","C00342"
"42","C00343"
"43","C00344"
"44","C00347"
"45","C00350"
"46","C00369"
"47","C00375"
"48","C00377"
"49","C00381"
"50","C00390"
"51","C00399"
"52","C00401"
"53","C00403"
"54","C00404(n-1)"
"55","C00404(n)"
"56","C00405"
"57","C00416"
"58","C00419"
"59","C00422"
"60","C00435"
"61","C00454"
"62","C00461"
"63","C00462"
"64","C00496"
"65","C00518"
"66","C00524"
"67","C00550"
"68","C00562"
"69","C00585"
"70","C00591"
"71","C00605"
"72","C00613"
"73","C00621"
"74","C00625"
"75","C00634"
"76","C00635"
"77","C00638"
"78","C00640"
"79","C00641"
"80","C00658"
"81","C00662"
"82","C00667"
"83","C00677"
"84","C00681"
"85","C00686"
"86","C00694"
"87","C00706"
"88","C00717"
"89","C00718"
"90","C00721"
"91","C00722"
"92","C00723"
"93","C00726"
"94","C00759"
"95","C00760"
"96","C00778"
"97","C00787"
"98","C00821"
"99","C00828"
"100","C00856"
"101","C00868"
"102","C00886"
"103","C00911"
"104","C00923"
"105","C00924"
"106","C00925"
"107","C00958"
"108","C00991"
"109","C00996"
"110","C00997"
"111","C00999"
"112","C01000"
"113","C01003"
"114","C01022"
"115","C01025"
"116","C01058"
"117","C01064"
"118","C01074"
"119","C01078"
"120","C01086"
"121","C01117"
"122","C01122"
"123","C01141"
"124","C01153"
"125","C01167"
"126","C01190"
"127","C01194"
"128","C01200"
"129","C01203"
"130","C01209"
"131","C01211"
"132","C01240"
"133","C01241"
"134","C01242"
"135","C01246"
"136","C01256"
"137","C01277"
"138","C01288"
"139","C01290"
"140","C01293"
"141","C01306"
"142","C01308"
"143","C01311"
"144","C01322"
"145","C01335"
"146","C01336"
"147","C01356"
"148","C01370"
"149","C01371"
"150","C01392"
"151","C01450"
"152","C01490"
"153","C01525"
"154","C01573"
"155","C01609"
"156","C01612"
"157","C01628"
"158","C01635"
"159","C01636"
"160","C01637"
"161","C01638"
"162","C01639"
"163","C01640"
"164","C01641"
"165","C01642"
"166","C01643"
"167","C01644"
"168","C01645"
"169","C01646"
"170","C01647"
"171","C01648"
"172","C01649"
"173","C01650"
"174","C01651"
"175","C01652"
"176","C01653"
"177","C01656"
"178","C01664"
"179","C01702"
"180","C01708"
"181","C01764"
"182","C01777"
"183","C01798"
"184","C01867"
"185","C01885"
"186","C01910"
"187","C01931"
"188","C01958"
"189","C01972"
"190","C01977"
"191","C01978"
"192","C01985"
"193","C01997"
"194","C02000"
"195","C02028"
"196","C02031"
"197","C02038"
"198","C02047"
"199","C02051"
"200","C02055"
"201","C02073"
"202","C02075"
"203","C02100"
"204","C02112"
"205","C02119"
"206","C02128"
"207","C02128(m)"
"208","C02133"
"209","C02163"
"210","C02171"
"211","C02188"
"212","C02189"
"213","C02211"
"214","C02248"
"215","C02282"
"216","C02288"
"217","C02297"
"218","C02303"
"219","C02307"
"220","C02308"
"221","C02315"
"222","C02318"
"223","C02320"
"224","C02339"
"225","C02374"
"226","C02391"
"227","C02412"
"228","C02415"
"229","C02430"
"230","C02436"
"231","C02456"
"232","C02475"
"233","C02478"
"234","C02506"
"235","C02520"
"236","C02530"
"237","C02534"
"238","C02553"
"239","C02554"
"240","C02582"
"241","C02583"
"242","C02658"
"243","C02686"
"244","C02687"
"245","C02702"
"246","C02715"
"247","C02729"
"248","C02737"
"249","C02743"
"250","C02764"
"251","C02773"
"252","C02805"
"253","C02839"
"254","C02843"
"255","C02850"
"256","C02863"
"257","C02871"
"258","C02882"
"259","C02900"
"260","C02929"
"261","C02960"
"262","C02967"
"263","C02972"
"264","C02984"
"265","C02986"
"266","C02987"
"267","C02988"
"268","C02992"
"269","C03000"
"270","C03011"
"271","C03021"
"272","C03022"
"273","C03023"
"274","C03024"
"275","C03033"
"276","C03121"
"277","C03125"
"278","C03127"
"279","C03129"
"280","C03157"
"281","C03161"
"282","C03193"
"283","C03201"
"284","C03245"
"285","C03254"
"286","C03272"
"287","C03294"
"288","C03303"
"289","C03306"
"290","C03336"
"291","C03363"
"292","C03372"
"293","C03391"
"294","C03402"
"295","C03418"
"296","C03446"
"297","C03454"
"298","C03463"
"299","C03475"
"300","C03511"
"301","C03512"
"302","C03518"
"303","C03523"
"304","C03530"
"305","C03531"
"306","C03541"
"307","C03541(n)"
"308","C03541(n+1)"
"309","C03547"
"310","C03633"
"311","C03635"
"312","C03636"
"313","C03638"
"314","C03643"
"315","C03658"
"316","C03687"
"317","C03688"
"318","C03692"
"319","C03701"
"320","C03702"
"321","C03706"
"322","C03708"
"323","C03715"
"324","C03721"
"325","C03723"
"326","C03740"
"327","C03798"
"328","C03800"
"329","C03819"
"330","C03820"
"331","C03823"
"332","C03849"
"333","C03862"
"334","C03875"
"335","C03880"
"336","C03881"
"337","C03889"
"338","C03892"
"339","C03895"
"340","C03899"
"341","C03939"
"342","C03957"
"343","C03959"
"344","C03968"
"345","C03974"
"346","C04010"
"347","C04046"
"348","C04073"
"349","C04088"
"350","C04090"
"351","C04125"
"352","C04131"
"353","C04141"
"354","C04155"
"355","C04157"
"356","C04160"
"357","C04195"
"358","C04196"
"359","C04212"
"360","C04214"
"361","C04230"
"362","C04232"
"363","C04233"
"364","C04248"
"365","C04250"
"366","C04253"
"367","C04311"
"368","C04312"
"369","C04317"
"370","C04375"
